阿保之功   e1 bao3 zhi1 gong1
阿鼻地狱   a1 bi2 di4 yu4
阿芙蓉膏   a1 fu2 rong2 gao1
阿狗阿猫   a1 gou3 a1 mao1
阿姑阿翁   a1 gu1 a1 weng1
阿家阿翁   a1 jia1 a1 weng1
阿呼地狱   a1 hu1 di4 yu4
阿迦嚧香   a1 jia1 lu2 xiang1
阿伽门农   a1 jia1 men2 nong2
阿伽陀药   a1 qie2 tuo2 yao4
阿娇金屋   a1 jiao1 jin1 wu1
阿剌吉酒   a1 la4 ji2 jiu3
阿赖耶识   a1 lai4 ye1 shi2
阿郎杂碎   a1 lang2 za2 sui4
阿梨诃咃   a1 li2 he1 tuo1
阿罗汉果   a1 luo2 han4 guo3
阿罗耶识   a1 luo2 ye1 shi2
阿猫阿狗   a1 mao1 a1 gou3
阿绵花屎   a1 mian2 hua1 shi3
阿木忽郎   a1 mu4 hu1 lang2
阿那波那   a1 na4 bo1 na4
阿耨达池   a1 nou4 da2 chi2
阿耨达山   a1 nou4 da2 shan1
阿耨多罗   a1 nou4 duo1 luo2
阿毗达磨   a1 pi2 da2 mo2
爱理不理   ai4 li3 bu4 li3
爱礼存羊   ai4 li3 cun2 yang2
哀梨蒸食   ai1 li2 zheng1 shi2
爱毛反裘   ai4 mao2 fan3 qiu2
暧昧不明   ai4 mei4 bu4 ming2
暧昧之情   ai4 mei4 zhi1 qing2
挨门挨户   ai1 men2 ai1 hu4
挨门逐户   ai1 men2 zhu2 hu4
爱民如子   ai4 min2 ru2 zi3
爱莫能助   ai4 mo4 neng2 zhu4
爱莫之助   ai4 mo4 zhi1 zhu4
碍难从命   ai4 nan2 cong2 ming4
騃女痴儿   ai2 nü3 chi1 er2
騃女痴男   ai2 nü3 chi1 nan2
爱钱如命   ai4 qian2 ru2 ming4
爱亲做亲   ai4 qin1 null qin1
蔼然可亲   ai3 ran2 ke3 qin1
蔼然仁者   ai3 ran2 ren2 zhe3
矮人观场   ai3 ren2 guan1 chang2
爱人好士   ai4 ren2 hao4 shi4
矮人看场   ai3 ren2 kan4 chang3
矮人看戏   ai3 ren2 kan4 xi4
爱人利物   ai4 ren2 li4 wu4
爱人以德   ai4 ren2 yi3 de2
爱日惜力   ai4 ri4 xi1 li4
爱如己出   ai4 ru2 ji3 chu1
爱如珍宝   ai4 ru2 zhen1 bao3
捱三顶四   ai1 san1 ding3 si4
挨三顶五   ai1 san1 ding3 wu3
捱三顶五   ai1 san1 ding3 wu3
挨山塞海   ai1 shan1 se4 hai3
哀声叹气   ai1 sheng1 tan4 qi4
唉声叹气   ai1 sheng1 tan4 qi4
嗳声叹气   ai4 sheng1 tan4 qi4
爱生恶死   ai4 sheng1 wu4 si3
爱势贪财   ai4 shi4 tan1 cai2
碍手碍脚   ai4 shou3 ai4 jiao3
爱手反裘   ai4 shou3 fan3 qiu2
哀丝豪竹   ai1 si1 hao2 zhu2
哀思如潮   ai1 si1 ru2 chao2
哀死事生   ai1 si3 shi4 sheng1
爱素好古   ai4 su4 hao4 gu3
哀天叫地   ai1 tian1 jiao4 di4
騃童钝夫   ai2 tong2 dun4 fu1
哀痛欲绝   ai1 tong4 yu4 jue2
爱屋及乌   ai4 wu1 ji2 wu1
爱惜羽毛   ai4 xi1 yu3 mao2
爱远恶近   ai4 yuan3 wu4 jin4
哀乐相生   ai1 le4 xiang1 sheng1
爱憎分明   ai4 zeng1 fen1 ming2
矮子观场   ai3 zi3 guan1 chang2
矮子看戏   ai3 zi0 kan4 xi4
碍足碍手   ai4 zu2 ai4 shou3
安安分分   an1 an1 fen4 fen4
安安稳稳   an1 an1 wen3 wen3
安安心心   an1 an1 xin1 xin1
安邦定国   an1 bang1 ding4 guo2
安邦治国   an1 bang1 zhi4 guo2
按兵不动   an4 bing1 bu4 dong4
按兵不举   an4 bing1 bu4 ju3
按兵束甲   an4 bing1 shu4 jia3
案兵束甲   an4 bing1 shu4 jia3
安步当车   an1 bu4 dang4 che1
按步就班   an4 bu4 jiu4 ban1
按部就班   an4 bu4 jiu4 ban1
安不忘危   an1 bu4 wang4 wei1
暗察明访   an4 cha2 ming2 fang3
安常处顺   an1 chang2 chu3 shun4
安常履顺   an1 chang2 lü3 shun4
安常守分   an1 chang2 shou3 fen4
安常守故   an1 chang2 shou3 gu4
安常习故   an1 chang2 xi2 gu4
安车蒲轮   an1 che1 pu2 lun2
暗锤打人   an4 chui2 da3 ren2
暗淡无光   an4 dan4 wu2 guang1
黯淡无光   an4 dan4 wu2 guang1
安定团结   an1 ding4 tuan2 jie2
暗斗明争   an4 dou4 ming2 zheng1
暗度陈仓   an4 du4 chen2 cang1
暗渡陈仓   an4 du4 chen2 cang1
暗度金针   an4 du4 jin1 zhen1
案牍劳形   an4 du2 lao2 xing2
安堵乐业   an1 du3 le4 ye4
安堵如故   an1 du3 ru2 gu4
按堵如故   an4 du3 ru2 gu4
案牍之劳   an4 du2 zhi1 lao2
安份守己   an1 fen4 shou3 ji3
安分守己   an1 fen4 shou3 ji3
安分守已   an1 fen3 shou3 ji3
安分知足   an1 fen4 zhi1 zu2
