阿保之功 ē bǎo zhī gōng
阿鼻地狱 ā bí dì yù
阿芙蓉膏 ā fú róng gāo
阿狗阿猫 ā gǒu ā māo
阿姑阿翁 ā gū ā wēng
阿家阿翁 ā jiā ā wēng
阿呼地狱 ā hū dì yù
阿迦嚧香 ā jiā lú xiāng
阿伽门农 ā jiā mén nóng
阿伽陀药 ā qié tuó yào
阿娇金屋 ā jiāo jīn wū
阿剌吉酒 ā là jí jiǔ
阿赖耶识 ā lài yē shí
阿郎杂碎 ā láng zá suì
阿梨诃咃 ā lí hē tuō
阿罗汉果 ā luó hàn guǒ
阿罗耶识 ā luó yē shí
阿猫阿狗 ā māo ā gǒu
阿绵花屎 ā mián huā shǐ
阿木忽郎 ā mù hū láng
阿那波那 ā nà bō nà
阿耨达池 ā nòu dá chí
阿耨达山 ā nòu dá shān
阿耨多罗 ā nòu duō luó
阿毗达磨 ā pí dá mó
爱理不理 ài lǐ bù lǐ
爱礼存羊 ài lǐ cún yáng
哀梨蒸食 āi lí zhēng shí
爱毛反裘 ài máo fǎn qiú
暧昧不明 ài mèi bù míng
暧昧之情 ài mèi zhī qíng
挨门挨户 āi mén āi hù
挨门逐户 āi mén zhú hù
爱民如子 ài mín rú zǐ
爱莫能助 ài mò néng zhù
爱莫之助 ài mò zhī zhù
碍难从命 ài nán cóng mìng
騃女痴儿 ái nǚ chī ér
騃女痴男 ái nǚ chī nán
爱钱如命 ài qián rú mìng
爱亲做亲 ài qīn zuò qīn
蔼然可亲 ǎi rán kě qīn
蔼然仁者 ǎi rán rén zhě
矮人观场 ǎi rén guān cháng
爱人好士 ài rén hào shì
矮人看场 ǎi rén kàn chǎng
矮人看戏 ǎi rén kàn xì
爱人利物 ài rén lì wù
爱人以德 ài rén yǐ dé
爱日惜力 ài rì xī lì
爱如己出 ài rú jǐ chū
爱如珍宝 ài rú zhēn bǎo
捱三顶四 āi sān dǐng sì
挨三顶五 āi sān dǐng wǔ
捱三顶五 āi sān dǐng wǔ
挨山塞海 āi shān sè hǎi
哀声叹气 āi shēng tàn qì
唉声叹气 āi shēng tàn qì
嗳声叹气 ài shēng tàn qì
爱生恶死 ài shēng wù sǐ
爱势贪财 ài shì tān cái
碍手碍脚 ài shǒu ài jiǎo
爱手反裘 ài shǒu fǎn qiú
哀丝豪竹 āi sī háo zhú
哀思如潮 āi sī rú cháo
哀死事生 āi sǐ shì shēng
爱素好古 ài sù hào gǔ
哀天叫地 āi tiān jiào dì
騃童钝夫 ái tóng dùn fū
哀痛欲绝 āi tòng yù jué
爱屋及乌 ài wū jí wū
爱惜羽毛 ài xī yǔ máo
爱远恶近 ài yuǎn wù jìn
哀乐相生 āi lè xiāng shēng
爱憎分明 ài zēng fēn míng
矮子观场 ǎi zǐ guān cháng
矮子看戏 ǎi zi kàn xì
碍足碍手 ài zú ài shǒu
安安分分 ān ān fèn fèn
安安稳稳 ān ān wěn wěn
安安心心 ān ān xīn xīn
安邦定国 ān bāng dìng guó
安邦治国 ān bāng zhì guó
按兵不动 àn bīng bù dòng
按兵不举 àn bīng bù jǔ
按兵束甲 àn bīng shù jiǎ
案兵束甲 àn bīng shù jiǎ
安步当车 ān bù dàng chē
按步就班 àn bù jiù bān
按部就班 àn bù jiù bān
安不忘危 ān bù wàng wēi
暗察明访 àn chá míng fǎng
安常处顺 ān cháng chǔ shùn
安常履顺 ān cháng lǚ shùn
安常守分 ān cháng shǒu fèn
安常守故 ān cháng shǒu gù
安常习故 ān cháng xí gù
安车蒲轮 ān chē pú lún
暗锤打人 àn chuí dǎ rén
暗淡无光 àn dàn wú guāng
黯淡无光 àn dàn wú guāng
安定团结 ān dìng tuán jié
暗斗明争 àn dòu míng zhēng
暗度陈仓 àn dù chén cāng
暗渡陈仓 àn dù chén cāng
暗度金针 àn dù jīn zhēn
案牍劳形 àn dú láo xíng
安堵乐业 ān dǔ lè yè
安堵如故 ān dǔ rú gù
按堵如故 àn dǔ rú gù
案牍之劳 àn dú zhī láo
安份守己 ān fèn shǒu jǐ
安分守己 ān fèn shǒu jǐ
安分守已 ān fěn shǒu jǐ
安分知足 ān fèn zhī zú
安富恤贫 ān fù xù pín
安富恤穷 ān fù xù qióng
安富尊荣 ān fù zūn róng
岸谷之变 àn gǔ zhī bìan
安故重迁 ān gù zhòng qiān
安国富民 ān guó fù mín
安国宁家 ān guó níng jiā
案户比民 àn hù bǐ mín
黯晦消沉 àn huì xiāo chén
安魂定魄 ān hún dìng pò
安家乐业 ān jiā lè yè
安家立业 ān jiā lì yè
安家落户 ān jiā luò hù
按甲寝兵 àn jiǎ qǐn bīng
按甲休兵 àn jiǎ xiū bīng
案甲休兵 àn jiǎ xiū bīng
案剑瞋目 àn jiàn chēn mù
暗箭明枪 àn jiàn míng qiāng
暗箭难防 àn jiàn nán fáng
暗箭伤人 àn jiàn shāng rén
暗箭中人 àn jiàn zhòng rén
暗礁险滩 àn jiāo xiǎn tān
安居乐业 ān jū lè yè
按劳分配 àn láo fēn pèi
安老怀少 ān lǎo huái shào
按劳取酬 àn láo qǔ chóu
安乐世界 ān lè shì jiè
暗里使劲 àn lǐ shǐ jìn
安良除暴 ān liáng chú bào
暗绿稀红 àn lǜ xī hóng
鞍马劳顿 ān mǎ láo dùn
鞍马劳倦 ān mǎ láo juàn
鞍马劳困 ān mǎ láo kùn
鞍马劳神 ān mǎ láo shén
鞍马之劳 ān mǎ zhī láo
安眉带眼 ān méi dài yǎn
暗昧之事 àn mèi zhī shì
安民告示 ān mín gào shì
按名责实 àn míng zé shí
按捺不住 àn nà bù zhù
安内攘外 ān nèi rǎng wài
按辔徐行 àn pèi xú xíng
安贫乐道 ān pín lè dào
安贫乐贱 ān pín lè jiàn
安贫守道 ān pín shǒu dào
暗气暗恼 àn qì àn nǎo
鞍前马后 ān qián mǎ hòu
按强助弱 àn qiáng zhù ruò
安全系数 ān quán xì shù
岸然道貌 àn rán dào mào
黯然魂销 àn rán hún xiāo
安然如故 ān rán rú gù
黯然伤神 àn rán shāng shén
黯然神伤 àn rán shén shāng
黯然失色 àn rán shī sè
黯然无色 àn rán wú sè
黯然无神 àn rán wú shén
安然无事 ān rán wú shì
安然无恙 ān rán wú yàng
黯然销魂 àn rán xiāo hún
安忍无亲 ān rěn wú qīn
安如磐石 ān rú pán shí
安如太山 ān rú tài shān
安如泰山 ān rú tài shān
安若泰山 ān ruò tài shān
暗弱无断 àn ruò wú duàn
安神定魄 ān shén dìng pò
安身乐业 ān shēn lè yè
安身立命 ān shēn lì mìng
安身为乐 ān shēn wéi lè
安身之处 ān shēn zhī chù
安身之地 ān shēn zhī dì
安生服业 ān shēng fú yè
安生乐业 ān shēng lè yè
暗室不欺 àn shì bù qī
闇室不欺 ān shì bù qī
安时处顺 ān shí chǔ shùn
暗室逢灯 àn shì féng dēng
暗室亏心 àn shì kuī xīn
安室利处 ān shì lì chù
暗室欺心 àn shì qī xīn
暗室求物 àn shì qiú wù
安适如常 ān shì rú cháng
暗室私心 àn shì sī xīn
暗室屋漏 àn shì wū lòu
暗送秋波 àn sòng qiū bō
安提戈涅 ān tí gē niè
安土乐业 ān tǔ lè yè
按图索骥 àn tú suǒ jì
按图索骏 àn tú suǒ jùn
安土重旧 ān tǔ zhòng jiù
安土重居 ān tǔ zhòng jū
安土重迁 ān tǔ zhòng qiān
安危相易 ān wēi xiāng yì
安危与共 ān wēi yǔ gòng
案无留牍 àn wú liú dú
暗无天日 àn wú tiān rì
闇无天日 ān wú tiān rì
安闲自得 ān xián zì dé
安闲自在 ān xián zì zài
暗香疏影 àn xiāng shū yǐng
安心定志 ān xīn dìng zhì
安心乐业 ān xīn lè yè
安心乐意 ān xīn lè yì
安心落意 ān xīn luò yì
按行自抑 àn xíng zì yì
安营下寨 ān yíng xià zhài
安营扎寨 ān yíng zhā zhài
安于盘石 ān yú pán shí
安于磐石 ān yú pán shí
安于现状 ān yú xiàn zhuàng
安于一隅 ān yù yī yù
安宅正路 ān zhái zhèng lù
安枕而卧 ān zhěn ér wò
安之若命 ān zhī ruò mìng
安之若素 ān zhī ruò sù
暗中摸索 àn zhōng mō suǒ
安坐待毙 ān zuò dài bì
昂昂不动 áng áng bù dòng
肮肮脏脏 āng āng zāng zāng
昂昂自若 áng áng zì roò
昂藏七尺 áng cáng qī chǐ
昂然而入 áng rán ér rù
昂然直入 áng rán zhí rù
昂然自得 áng rán zì dé
昂然自若 áng rán zì ruò
昂首阔步 áng shǒu kuò bù
昂首伸眉 áng shǒu shēn méi
昂首天外 áng shǒu tiān wài
昂首挺胸 áng shǒu tǐng xiōng
昂首望天 áng shǒu wàng tiān
卬首信眉 áng shǒu shēn méi
卬头阔步 áng tóu kuò bù
昂头阔步 áng tóu kuò bù
昂头天外 áng tóu tiān wài
昂头挺胸 áng tóu tǐng xiōng
昂霄耸壑 áng xiāo sǒng hè
盎盂相击 àng yú xiāng jī
盎盂相敲 àng yú xiāng qiāo
嗷嗷待哺 áo áo dài bǔ
熬熬汲汲 áo áo jí jí
熬熬煎煎 áo áo jiān jiān
傲不可长 ào bù kě zhǎng
敖不可长 ào bù kě zhǎng
熬肠刮肚 áo cháng guā dù
奥德修纪 ào dé xiū jì
奥德修斯 ào dé xiū sī
鳌愤龙愁 áo fèn lóng chóu
熬更守夜 áo gēng shǒu yè
傲骨嶙嶙 ào gǔ lín lín
懊悔莫及 ào huǐ mò jí
懊悔无及 ào huǐ wú jí
熬姜呷醋 áo jiāng xiā cù
熬枯受淡 áo kū shòu dàn
鳌里夺尊 áo lǐ duó zūn
傲慢不逊 ào màn bù xùn
傲慢少礼 ào màn shǎo lǐ
傲慢无礼 ào màn wú lǐ
奥妙无穷 ào miào wú qióng
鳌鸣鳖应 áo míng biē yīng
懊恼泽家 ào nǎo zé jiā
傲睨得志 ào nì dé zhì
傲睨万物 ào nì wàn wù
傲睨一切 ào nì yī qiè
傲睨一世 ào nì yī shì
傲睨自若 ào nì zì ruò
熬清受淡 áo qīng shòu dàn
熬清守淡 áo qīng shǒu dàn
傲然挺立 ào rán tǐng lì
傲然屹立 ào rán yì lì
傲世轻物 ào shì qīng wù
敖世轻物 áo shì qīng wù
傲霜斗雪 ào shuāng dòu xuě
傲头傲脑 ào tóu ào nǎo
鳌头独占 áo tóu dú zhàn
凹凸不平 āo tū bù píng
傲贤慢士 ào xián màn shì
遨翔自得 áo xiáng zì dé
熬心费力 áo xīn fèi lì
傲雪凌霜 ào xuě líng shuāng
傲雪欺霜 ào xuě qī shuāng
聱牙戟口 áo yá jǐ kǒu
聱牙佶屈 áo yá jí qū
聱牙诘屈 áo yá jié qū
聱牙诘曲 áo yá jié qū
謷牙诘屈 áo yá jié qū
聱牙诎曲 áo yá qū qǔ
熬油费火 áo yóu fèi huǒ
奥援有灵 ào yuán yǒu líng
鳌掷鲸呿 áo zhì jīng qù
鳌掷鲸吞 áo zhì jīng tūn
巴巴急急 bā bā jí jí
巴巴劫劫 bā bā jié jié
巴巴结结 bā bā jiē jiē
八百孤寒 bā bǎi gū hán
八百里驳 bā bǎi lǐ bó
八百姻娇 bā bǎi yīn jiāo
八拜之交 bā bài zhī jiāo
八百诸侯 bā bǎi zhū hóu
八棒十挟 bā bàng shí jiā
拔本塞原 bá běn sè yuán
拔本塞源 bá běn sè yuán
把臂入林 bǎ bì rù lín
把臂徐去 bǎ bì xú qù
八病九痛 bā bìng jiǔ tòng
拔不出腿 bá bù chū tuǐ
巴不能勾 bā bù néng gōu
把持不定 bǎ chí bù dìng
罢黜百家 bā chù bǎi jiā
八窗玲珑 bā chuāng líng lóng
拔丛出类 bá cóng chū lèi
拔萃出类 bá cuì chū lèi
拔萃出群 bá cuì chū qún
八大胡同 bā dà hú tòng
八搭麻鞋 bā dā má xié
八大山人 bā tài shān rén
霸道横行 bà dào héng xíng
拔刀相向 bá dāo xiāng xiàng
拔刀相助 bá dāo xiāng zhù
拔地参天 bá dì cān tiān
拔地摇山 bá dì yáo shān
拔地倚天 bá dì yǐ tiān
拔丁抽楔 bá dīng chōu xiē
八洞神仙 bā dòng shén xiān
八斗之才 bā dǒu zhī cái
把饭叫饥 bǎ fàn jiào jī
八方风雨 bā fāng fēng yǔ
八方呼应 bā fāng hū yìng
八方支持 bā fāng zhī chí
八方支援 bā fāng zhī yuán
八府巡按 bā fǔ xún àn
扒高踩低 bā gāo cǎi dī
巴高望上 bā gāo wàng shàng
巴高枝儿 bā gāo zhī ér
八功德水 bā gōng dé shuǐ
八卦方位 bā guà fāng wèi
八观六验 bā guān liù yàn
拔锅卷席 bá guō juǎn xí
八国联军 bā guó lián jūn
八纮同轨 bā hóng tóng guǐ
跋扈飞扬 bá hù fēi yáng
跋扈将军 bá hù jiāng jūn
跋胡疐尾 bá hú zhì wěi
跋扈恣睢 bá hù zì suī
跋扈自恣 bá hù zì zì
八荒之外 bā huāng zhī wài
拔火罐子 bá huǒ guàn zi
拔剑论功 bá jiàn lùn gōng
八街九陌 bā jiē jiǔ mò
扒街淘空 bā jiē táo kōng
把酒持螯 bǎ jiǔ chí áo
拔葵啖枣 bá kuí dàn zǎo
拔葵去织 bá kuí qù zhī
拔来报往 bá lái fù wǎng
跋来报往 bá lái fù wǎng
拔类超群 bá lèi chāo qún
巴黎和会 bā lí hé huì
霸陵醉尉 bà líng zuì wèi
跋履山川 bá lǚ shān chuān
拔毛济世 bá máo jì shì
拔毛连茹 bá máo lián rú
拔茅连茹 bá máo lián rú
八米卢郎 bā mǐ lú láng
