阿保之功 ē bǎo zhī gōng 22700
阿鼻地狱 ā bí dì yù 16500
阿芙蓉膏 ā fú róng gāo 123000
阿狗阿猫 ā gǒu ā māo 29100
阿姑阿翁 ā gū ā wēng 3960
阿家阿翁 ā jiā ā wēng 4860
阿呼地狱 ā hū dì yù 192000
阿迦嚧香 ā jiā lú xiāng 256000
阿伽门农 ā jiā mén nóng 97700
阿伽陀药 ā qié tuó yào 12000
阿娇金屋 ā jiāo jīn wū 6270
阿剌吉酒 ā là jí jiǔ 1120000
阿赖耶识 ā lài yē shí 80400
阿郎杂碎 ā láng zá suì 45
阿梨诃咃 ā lí hē tuō 9300
阿罗汉果 ā luó hàn guǒ 180000
阿罗耶识 ā luó yē shí 3040
阿猫阿狗 ā māo ā gǒu 59400
阿绵花屎 ā mián huā shǐ 50
阿木忽郎 ā mù hū láng 1420000
阿那波那 ā nà bō nà 7210000
阿耨达池 ā nòu dá chí 579000
阿耨达山 ā nòu dá shān 2360
阿耨多罗 ā nòu duō luó 5050000
阿毗达磨 ā pí dá mó 158000
爱理不理 ài lǐ bù lǐ 52200
爱礼存羊 ài lǐ cún yáng 7970
哀梨蒸食 āi lí zhēng shí 5430
爱毛反裘 ài máo fǎn qiú 6200
暧昧不明 ài mèi bù míng 46400
暧昧之情 ài mèi zhī qíng 24700
挨门挨户 āi mén āi hù 7990
挨门逐户 āi mén zhú hù 7400
爱民如子 ài mín rú zǐ 19200
爱莫能助 ài mò néng zhù 73800
爱莫之助 ài mò zhī zhù 12800
碍难从命 ài nán cóng mìng 5300
騃女痴儿 ái nǚ chī ér 329000
騃女痴男 ái nǚ chī nán 4200
爱钱如命 ài qián rú mìng 44500
爱亲做亲 ài qīn zuò qīn 13800
蔼然可亲 ǎi rán kě qīn 8260
蔼然仁者 ǎi rán rén zhě 4820
矮人观场 ǎi rén guān cháng 5370
爱人好士 ài rén hào shì 6930
矮人看场 ǎi rén kàn chǎng 5240
矮人看戏 ǎi rén kàn xì 11400
爱人利物 ài rén lì wù 301000
爱人以德 ài rén yǐ dé 7960
爱日惜力 ài rì xī lì 6670
爱如己出 ài rú jǐ chū 10100
爱如珍宝 ài rú zhēn bǎo 7390
捱三顶四 āi sān dǐng sì 5200
挨三顶五 āi sān dǐng wǔ 6580
捱三顶五 āi sān dǐng wǔ 5300
挨山塞海 āi shān sè hǎi 7570
哀声叹气 āi shēng tàn qì 50900
唉声叹气 āi shēng tàn qì 50700
嗳声叹气 ài shēng tàn qì 108000
爱生恶死 ài shēng wù sǐ 5680
爱势贪财 ài shì tān cái 3860
碍手碍脚 ài shǒu ài jiǎo 20400
爱手反裘 ài shǒu fǎn qiú 81200
哀丝豪竹 āi sī háo zhú 9040
哀思如潮 āi sī rú cháo 7080
哀死事生 āi sǐ shì shēng 3700
爱素好古 ài sù hào gǔ 6730
哀天叫地 āi tiān jiào dì 10100
騃童钝夫 ái tóng dùn fū 45900
哀痛欲绝 āi tòng yù jué 11600
爱屋及乌 ài wū jí wū 56800
爱惜羽毛 ài xī yǔ máo 11400
爱远恶近 ài yuǎn wù jìn 3140000
哀乐相生 āi lè xiāng shēng 5810
爱憎分明 ài zēng fēn míng 45700
矮子观场 ǎi zǐ guān cháng 4770
矮子看戏 ǎi zi kàn xì 8310
碍足碍手 ài zú ài shǒu 11300
安安分分 ān ān fèn fèn 153000
安安稳稳 ān ān wěn wěn 41200
安安心心 ān ān xīn xīn 37500
安邦定国 ān bāng dìng guó 19300
安邦治国 ān bāng zhì guó 11300
按兵不动 àn bīng bù dòng 89300
按兵不举 àn bīng bù jǔ 514000
按兵束甲 àn bīng shù jiǎ 4370
案兵束甲 àn bīng shù jiǎ 4620
安步当车 ān bù dàng chē 21800
按步就班 àn bù jiù bān 4540000
按部就班 àn bù jiù bān 131000
安不忘危 ān bù wàng wēi 19800
暗察明访 àn chá míng fǎng 2780
安常处顺 ān cháng chǔ shùn 9120
安常履顺 ān cháng lǚ shùn 5280
安常守分 ān cháng shǒu fèn 6360
安常守故 ān cháng shǒu gù 12500
安常习故 ān cháng xí gù 5400
安车蒲轮 ān chē pú lún 5840
暗锤打人 àn chuí dǎ rén 5630
暗淡无光 àn dàn wú guāng 44800
黯淡无光 àn dàn wú guāng 42400
安定团结 ān dìng tuán jié 45500
暗斗明争 àn dòu míng zhēng 4470
暗度陈仓 àn dù chén cāng 57800
暗渡陈仓 àn dù chén cāng 41800
暗度金针 àn dù jīn zhēn 38800
案牍劳形 àn dú láo xíng 11900
安堵乐业 ān dǔ lè yè 5050
安堵如故 ān dǔ rú gù 4680
按堵如故 àn dǔ rú gù 13200
案牍之劳 àn dú zhī láo 18600
安份守己 ān fèn shǒu jǐ 9910
安分守己 ān fèn shǒu jǐ 69300
安分守已 ān fěn shǒu jǐ 48900
安分知足 ān fèn zhī zú 6860
安富恤贫 ān fù xù pín 3930
安富恤穷 ān fù xù qióng 4380
安富尊荣 ān fù zūn róng 18300
岸谷之变 àn gǔ zhī bìan 7560
安故重迁 ān gù zhòng qiān 4320
安国富民 ān guó fù mín 15100
安国宁家 ān guó níng jiā 4620
案户比民 àn hù bǐ mín 562000
黯晦消沉 àn huì xiāo chén 4370
安魂定魄 ān hún dìng pò 9390
安家乐业 ān jiā lè yè 10100
安家立业 ān jiā lì yè 12400
安家落户 ān jiā luò hù 47800
按甲寝兵 àn jiǎ qǐn bīng 4190
按甲休兵 àn jiǎ xiū bīng 4280
案甲休兵 àn jiǎ xiū bīng 3220
案剑瞋目 àn jiàn chēn mù 5480
暗箭明枪 àn jiàn míng qiāng 31600
暗箭难防 àn jiàn nán fáng 50800
暗箭伤人 àn jiàn shāng rén 20400
暗箭中人 àn jiàn zhòng rén 4640
暗礁险滩 àn jiāo xiǎn tān 5620
安居乐业 ān jū lè yè 136000
按劳分配 àn láo fēn pèi 159000
安老怀少 ān lǎo huái shào 6660
按劳取酬 àn láo qǔ chóu 15700
安乐世界 ān lè shì jiè 350000
暗里使劲 àn lǐ shǐ jìn 2660
安良除暴 ān liáng chú bào 6990
暗绿稀红 àn lǜ xī hóng 5140
鞍马劳顿 ān mǎ láo dùn 8990
鞍马劳倦 ān mǎ láo juàn 5760
鞍马劳困 ān mǎ láo kùn 6070
鞍马劳神 ān mǎ láo shén 11600
鞍马之劳 ān mǎ zhī láo 4810
安眉带眼 ān méi dài yǎn 9210
暗昧之事 àn mèi zhī shì 4330
安民告示 ān mín gào shì 13000
按名责实 àn míng zé shí 3510
按捺不住 àn nà bù zhù 85100
安内攘外 ān nèi rǎng wài 7830
按辔徐行 àn pèi xú xíng 5380
安贫乐道 ān pín lè dào 32600
安贫乐贱 ān pín lè jiàn 5460
安贫守道 ān pín shǒu dào 9480
暗气暗恼 àn qì àn nǎo 4560
鞍前马后 ān qián mǎ hòu 24300
按强助弱 àn qiáng zhù ruò 2540
安全系数 ān quán xì shù 463000
岸然道貌 àn rán dào mào 6000
黯然魂销 àn rán hún xiāo 3480
安然如故 ān rán rú gù 16200
黯然伤神 àn rán shāng shén 19300
黯然神伤 àn rán shén shāng 57500
黯然失色 àn rán shī sè 79700
黯然无色 àn rán wú sè 7300
黯然无神 àn rán wú shén 3870
安然无事 ān rán wú shì 18100
安然无恙 ān rán wú yàng 101000
黯然销魂 àn rán xiāo hún 64200
安忍无亲 ān rěn wú qīn 7380
安如磐石 ān rú pán shí 13900
安如太山 ān rú tài shān 4440000
安如泰山 ān rú tài shān 17500
安若泰山 ān ruò tài shān 383000
暗弱无断 àn ruò wú duàn 3780
安神定魄 ān shén dìng pò 6030
安身乐业 ān shēn lè yè 5690
安身立命 ān shēn lì mìng 82800
安身为乐 ān shēn wéi lè 4360
安身之处 ān shēn zhī chù 15600
安身之地 ān shēn zhī dì 11300
安生服业 ān shēng fú yè 4600
安生乐业 ān shēng lè yè 5650
暗室不欺 àn shì bù qī 6160
闇室不欺 ān shì bù qī 22700
安时处顺 ān shí chǔ shùn 20500
暗室逢灯 àn shì féng dēng 6950
暗室亏心 àn shì kuī xīn 5050
安室利处 ān shì lì chù 9300
暗室欺心 àn shì qī xīn 4770
暗室求物 àn shì qiú wù 3790
安适如常 ān shì rú cháng 5900
暗室私心 àn shì sī xīn 4630
暗室屋漏 àn shì wū lòu 3730
暗送秋波 àn sòng qiū bō 26300
安提戈涅 ān tí gē niè 29900
安土乐业 ān tǔ lè yè 4910
按图索骥 àn tú suǒ jì 59700
按图索骏 àn tú suǒ jùn 3560
安土重旧 ān tǔ zhòng jiù 4590
安土重居 ān tǔ zhòng jū 4620
安土重迁 ān tǔ zhòng qiān 13400
安危相易 ān wēi xiāng yì 15200
安危与共 ān wēi yǔ gòng 8410
案无留牍 àn wú liú dú 3860
暗无天日 àn wú tiān rì 41300
闇无天日 ān wú tiān rì 46700
安闲自得 ān xián zì dé 7720
安闲自在 ān xián zì zài 16600
暗香疏影 àn xiāng shū yǐng 45200
安心定志 ān xīn dìng zhì 5120
安心乐业 ān xīn lè yè 6410
安心乐意 ān xīn lè yì 7190
安心落意 ān xīn luò yì 126000
按行自抑 àn xíng zì yì 3370
安营下寨 ān yíng xià zhài 5240
安营扎寨 ān yíng zhā zhài 36100
安于盘石 ān yú pán shí 10800
安于磐石 ān yú pán shí 4140
安于现状 ān yú xiàn zhuàng 65300
安于一隅 ān yù yī yù 6080
安宅正路 ān zhái zhèng lù 3700
安枕而卧 ān zhěn ér wò 6220
安之若命 ān zhī ruò mìng 7880
安之若素 ān zhī ruò sù 108000
暗中摸索 àn zhōng mō suǒ 22500
安坐待毙 ān zuò dài bì 4810
昂昂不动 áng áng bù dòng 2390
肮肮脏脏 āng āng zāng zāng 3330
昂昂自若 áng áng zì roò 5630
昂藏七尺 áng cáng qī chǐ 5250
昂然而入 áng rán ér rù 3260
昂然直入 áng rán zhí rù 4250
昂然自得 áng rán zì dé 6790
昂然自若 áng rán zì ruò 5480
昂首阔步 áng shǒu kuò bù 45100
昂首伸眉 áng shǒu shēn méi 4250
昂首天外 áng shǒu tiān wài 5940
昂首挺胸 áng shǒu tǐng xiōng 56500
昂首望天 áng shǒu wàng tiān 6960
卬首信眉 áng shǒu shēn méi 4350
卬头阔步 áng tóu kuò bù 13900
昂头阔步 áng tóu kuò bù 4080
昂头天外 áng tóu tiān wài 4920
昂头挺胸 áng tóu tǐng xiōng 8470
昂霄耸壑 áng xiāo sǒng hè 4930
盎盂相击 àng yú xiāng jī 3490
盎盂相敲 àng yú xiāng qiāo 3780
嗷嗷待哺 áo áo dài bǔ 44300
熬熬汲汲 áo áo jí jí 50
熬熬煎煎 áo áo jiān jiān 12200
傲不可长 ào bù kě zhǎng 17300
敖不可长 ào bù kě zhǎng 6060
熬肠刮肚 áo cháng guā dù 3520
奥德修纪 ào dé xiū jì 5050
奥德修斯 ào dé xiū sī 77500
鳌愤龙愁 áo fèn lóng chóu 33300
熬更守夜 áo gēng shǒu yè 5250
傲骨嶙嶙 ào gǔ lín lín 7360
懊悔莫及 ào huǐ mò jí 4160
懊悔无及 ào huǐ wú jí 5230
熬姜呷醋 áo jiāng xiā cù 3830
熬枯受淡 áo kū shòu dàn 3680
鳌里夺尊 áo lǐ duó zūn 3760
傲慢不逊 ào màn bù xùn 5790
傲慢少礼 ào màn shǎo lǐ 4030
傲慢无礼 ào màn wú lǐ 30400
奥妙无穷 ào miào wú qióng 21700
鳌鸣鳖应 áo míng biē yīng 12100
懊恼泽家 ào nǎo zé jiā 46
傲睨得志 ào nì dé zhì 5190
傲睨万物 ào nì wàn wù 5680
傲睨一切 ào nì yī qiè 4550
傲睨一世 ào nì yī shì 5900
傲睨自若 ào nì zì ruò 4180
熬清受淡 áo qīng shòu dàn 4200
熬清守淡 áo qīng shǒu dàn 4300
傲然挺立 ào rán tǐng lì 30200
傲然屹立 ào rán yì lì 19100
傲世轻物 ào shì qīng wù 4380
敖世轻物 áo shì qīng wù 113000
傲霜斗雪 ào shuāng dòu xuě 27600
傲头傲脑 ào tóu ào nǎo 4260
鳌头独占 áo tóu dú zhàn 5430
凹凸不平 āo tū bù píng 252000
傲贤慢士 ào xián màn shì 4030
遨翔自得 áo xiáng zì dé 9340
熬心费力 áo xīn fèi lì 4330
傲雪凌霜 ào xuě líng shuāng 17900
傲雪欺霜 ào xuě qī shuāng 11300
聱牙戟口 áo yá jǐ kǒu 3390
聱牙佶屈 áo yá jí qū 4130
聱牙诘屈 áo yá jié qū 8810
聱牙诘曲 áo yá jié qū 5280
謷牙诘屈 áo yá jié qū 18100
聱牙诎曲 áo yá qū qǔ 2670
熬油费火 áo yóu fèi huǒ 3240
奥援有灵 ào yuán yǒu líng 2780
鳌掷鲸呿 áo zhì jīng qù 12500
鳌掷鲸吞 áo zhì jīng tūn 3560
巴巴急急 bā bā jí jí 3850
巴巴劫劫 bā bā jié jié 3830
巴巴结结 bā bā jiē jiē 4280
八百孤寒 bā bǎi gū hán 6690
八百里驳 bā bǎi lǐ bó 73400
八百姻娇 bā bǎi yīn jiāo 3300
八拜之交 bā bài zhī jiāo 22100
