阿保之功 ē bǎo zhī gōng 6380
阿鼻地狱 ā bí dì yù 1290000
阿芙蓉膏 ā fú róng gāo 119000
阿狗阿猫 ā gǒu ā māo 1480000
阿姑阿翁 ā gū ā wēng 3670
阿家阿翁 ā jiā ā wēng 42200
阿呼地狱 ā hū dì yù 565
阿迦嚧香 ā jiā lú xiāng 414
阿伽门农 ā jiā mén nóng 545000
阿伽陀药 ā qié tuó yào 155000
阿娇金屋 ā jiāo jīn wū 653000
阿剌吉酒 ā là jí jiǔ 1590
阿赖耶识 ā lài yē shí 1750000
阿郎杂碎 ā láng zá suì 1580
阿梨诃咃 ā lí hē tuō 596
阿罗汉果 ā luó hàn guǒ 2110000
阿罗耶识 ā luó yē shí 1970
阿猫阿狗 ā māo ā gǒu 2620000
阿绵花屎 ā mián huā shǐ 508
阿木忽郎 ā mù hū láng 3810
阿那波那 ā nà bō nà 1840
阿耨达池 ā nòu dá chí 7440
阿耨达山 ā nòu dá shān 12000
阿耨多罗 ā nòu duō luó 79900
阿毗达磨 ā pí dá mó 162000
爱理不理 ài lǐ bù lǐ 9380000
爱礼存羊 ài lǐ cún yáng 83300
哀梨蒸食 āi lí zhēng shí 48400
爱毛反裘 ài máo fǎn qiú 53200
暧昧不明 ài mèi bù míng 1670000
暧昧之情 ài mèi zhī qíng 2200000
挨门挨户 āi mén āi hù 27500
挨门逐户 āi mén zhú hù 187000
爱民如子 ài mín rú zǐ 1540000
爱莫能助 ài mò néng zhù 4080000
爱莫之助 ài mò zhī zhù 3640
碍难从命 ài nán cóng mìng 314000
騃女痴儿 ái nǚ chī ér 1850
騃女痴男 ái nǚ chī nán 2110
爱钱如命 ài qián rú mìng 444000
爱亲做亲 ài qīn zuò qīn 35100
蔼然可亲 ǎi rán kě qīn 147000
蔼然仁者 ǎi rán rén zhě 67400
矮人观场 ǎi rén guān cháng 53300
爱人好士 ài rén hào shì 11700
矮人看场 ǎi rén kàn chǎng 100000
矮人看戏 ǎi rén kàn xì 497000
爱人利物 ài rén lì wù 73000
爱人以德 ài rén yǐ dé 276000
爱日惜力 ài rì xī lì 54300
爱如己出 ài rú jǐ chū 195000
爱如珍宝 ài rú zhēn bǎo 222000
捱三顶四 āi sān dǐng sì 36900
挨三顶五 āi sān dǐng wǔ 71500
捱三顶五 āi sān dǐng wǔ 49800
挨山塞海 āi shān sè hǎi 74300
哀声叹气 āi shēng tàn qì 635000
唉声叹气 āi shēng tàn qì 6510000
嗳声叹气 ài shēng tàn qì 4240
爱生恶死 ài shēng wù sǐ 7470
爱势贪财 ài shì tān cái 2320
碍手碍脚 ài shǒu ài jiǎo 1740000
爱手反裘 ài shǒu fǎn qiú 14100
哀丝豪竹 āi sī háo zhú 87000
哀思如潮 āi sī rú cháo 81200
哀死事生 āi sǐ shì shēng 4240
爱素好古 ài sù hào gǔ 3820
哀天叫地 āi tiān jiào dì 13700
騃童钝夫 ái tóng dùn fū 1500
哀痛欲绝 āi tòng yù jué 259000
爱屋及乌 ài wū jí wū 7040000
爱惜羽毛 ài xī yǔ máo 620000
爱远恶近 ài yuǎn wù jìn 838
哀乐相生 āi lè xiāng shēng 1900
爱憎分明 ài zēng fēn míng 1970000
矮子观场 ǎi zǐ guān cháng 4450
矮子看戏 ǎi zi kàn xì 244000
碍足碍手 ài zú ài shǒu 11000
安安分分 ān ān fèn fèn 82400
安安稳稳 ān ān wěn wěn 5850000
安安心心 ān ān xīn xīn 1950000
安邦定国 ān bāng dìng guó 1060000
安邦治国 ān bāng zhì guó 1990000
按兵不动 àn bīng bù dòng 7500000
按兵不举 àn bīng bù jǔ 10100
按兵束甲 àn bīng shù jiǎ 127000
案兵束甲 àn bīng shù jiǎ 4830
安步当车 ān bù dàng chē 1100000
按步就班 àn bù jiù bān 19500000
按部就班 àn bù jiù bān 19500000
安不忘危 ān bù wàng wēi 563000
暗察明访 àn chá míng fǎng 17100
安常处顺 ān cháng chǔ shùn 125000
安常履顺 ān cháng lǚ shùn 20800
安常守分 ān cháng shǒu fèn 83800
安常守故 ān cháng shǒu gù 47200
安常习故 ān cháng xí gù 3680
安车蒲轮 ān chē pú lún 73200
暗锤打人 àn chuí dǎ rén 5040
暗淡无光 àn dàn wú guāng 4500000
黯淡无光 àn dàn wú guāng 3450000
安定团结 ān dìng tuán jié 1620000
暗斗明争 àn dòu míng zhēng 44900
暗度陈仓 àn dù chén cāng 3960000
暗渡陈仓 àn dù chén cāng 3960000
暗度金针 àn dù jīn zhēn 23500
案牍劳形 àn dú láo xíng 209000
安堵乐业 ān dǔ lè yè 29200
安堵如故 ān dǔ rú gù 105000
按堵如故 àn dǔ rú gù 6320
案牍之劳 àn dú zhī láo 1030000
安份守己 ān fèn shǒu jǐ 5620000
安分守己 ān fèn shǒu jǐ 5620000
安分守已 ān fěn shǒu jǐ 236000
安分知足 ān fèn zhī zú 57200
安富恤贫 ān fù xù pín 8380
安富恤穷 ān fù xù qióng 2770
安富尊荣 ān fù zūn róng 1780000
岸谷之变 àn gǔ zhī bìan 28300
安故重迁 ān gù zhòng qiān 2130
安国富民 ān guó fù mín 65900
安国宁家 ān guó níng jiā 41500
案户比民 àn hù bǐ mín 3780
黯晦消沉 àn huì xiāo chén 27800
安魂定魄 ān hún dìng pò 143000
安家乐业 ān jiā lè yè 247000
安家立业 ān jiā lì yè 528000
安家落户 ān jiā luò hù 3530000
按甲寝兵 àn jiǎ qǐn bīng 8480
按甲休兵 àn jiǎ xiū bīng 39200
案甲休兵 àn jiǎ xiū bīng 2840
案剑瞋目 àn jiàn chēn mù 3780
暗箭明枪 àn jiàn míng qiāng 2010000
暗箭难防 àn jiàn nán fáng 1200000
暗箭伤人 àn jiàn shāng rén 883000
暗箭中人 àn jiàn zhòng rén 8450
暗礁险滩 àn jiāo xiǎn tān 17000
安居乐业 ān jū lè yè 24100000
按劳分配 àn láo fēn pèi 8050000
安老怀少 ān lǎo huái shào 47100
按劳取酬 àn láo qǔ chóu 847000
安乐世界 ān lè shì jiè 2360000
暗里使劲 àn lǐ shǐ jìn 3620
安良除暴 ān liáng chú bào 48800
暗绿稀红 àn lǜ xī hóng 3510
鞍马劳顿 ān mǎ láo dùn 315000
鞍马劳倦 ān mǎ láo juàn 62200
鞍马劳困 ān mǎ láo kùn 34100
鞍马劳神 ān mǎ láo shén 3050
鞍马之劳 ān mǎ zhī láo 65100
安眉带眼 ān méi dài yǎn 40400
暗昧之事 àn mèi zhī shì 74500
安民告示 ān mín gào shì 603000
按名责实 àn míng zé shí 3370
按捺不住 àn nà bù zhù 15500000
安内攘外 ān nèi rǎng wài 338000
按辔徐行 àn pèi xú xíng 142000
安贫乐道 ān pín lè dào 3040000
安贫乐贱 ān pín lè jiàn 5240
安贫守道 ān pín shǒu dào 105000
暗气暗恼 àn qì àn nǎo 29200
鞍前马后 ān qián mǎ hòu 2130000
按强助弱 àn qiáng zhù ruò 1870
安全系数 ān quán xì shù 22000000
岸然道貌 àn rán dào mào 73600
黯然魂销 àn rán hún xiāo 14900
安然如故 ān rán rú gù 254000
黯然伤神 àn rán shāng shén 845000
黯然神伤 àn rán shén shāng 7040000
黯然失色 àn rán shī sè 2500000
黯然无色 àn rán wú sè 160000
黯然无神 àn rán wú shén 77200
安然无事 ān rán wú shì 1080000
安然无恙 ān rán wú yàng 15400000
黯然销魂 àn rán xiāo hún 1560000
安忍无亲 ān rěn wú qīn 6880
安如磐石 ān rú pán shí 202000
安如太山 ān rú tài shān 5210
安如泰山 ān rú tài shān 429000
安若泰山 ān ruò tài shān 109000
暗弱无断 àn ruò wú duàn 4350
安神定魄 ān shén dìng pò 133000
安身乐业 ān shēn lè yè 49700
安身立命 ān shēn lì mìng 8630000
安身为乐 ān shēn wéi lè 51600
安身之处 ān shēn zhī chù 824000
安身之地 ān shēn zhī dì 637000
安生服业 ān shēng fú yè 510000
安生乐业 ān shēng lè yè 61400
暗室不欺 àn shì bù qī 143000
闇室不欺 ān shì bù qī 650
安时处顺 ān shí chǔ shùn 171000
暗室逢灯 àn shì féng dēng 83500
暗室亏心 àn shì kuī xīn 184000
安室利处 ān shì lì chù 40200
暗室欺心 àn shì qī xīn 61500
暗室求物 àn shì qiú wù 4870
安适如常 ān shì rú cháng 75600
暗室私心 àn shì sī xīn 20900
暗室屋漏 àn shì wū lòu 73800
暗送秋波 àn sòng qiū bō 2060000
安提戈涅 ān tí gē niè 463000
安土乐业 ān tǔ lè yè 163000
按图索骥 àn tú suǒ jì 4370000
按图索骏 àn tú suǒ jùn 443
安土重旧 ān tǔ zhòng jiù 2850
安土重居 ān tǔ zhòng jū 2790
安土重迁 ān tǔ zhòng qiān 928000
安危相易 ān wēi xiāng yì 86900
安危与共 ān wēi yǔ gòng 55900
案无留牍 àn wú liú dú 74900
暗无天日 àn wú tiān rì 4990000
闇无天日 ān wú tiān rì 395
安闲自得 ān xián zì dé 240000
安闲自在 ān xián zì zài 398000
暗香疏影 àn xiāng shū yǐng 842000
安心定志 ān xīn dìng zhì 93000
安心乐业 ān xīn lè yè 101000
安心乐意 ān xīn lè yì 515000
安心落意 ān xīn luò yì 63300
按行自抑 àn xíng zì yì 2950
安营下寨 ān yíng xià zhài 11800
安营扎寨 ān yíng zhā zhài 4400000
安于盘石 ān yú pán shí 9780
安于磐石 ān yú pán shí 21700
安于现状 ān yú xiàn zhuàng 11200000
安于一隅 ān yù yī yù 169000
安宅正路 ān zhái zhèng lù 25700
安枕而卧 ān zhěn ér wò 7090
安之若命 ān zhī ruò mìng 257000
安之若素 ān zhī ruò sù 6000000
暗中摸索 àn zhōng mō suǒ 308000
安坐待毙 ān zuò dài bì 89600
昂昂不动 áng áng bù dòng 288000
肮肮脏脏 āng āng zāng zāng 991000
昂昂自若 áng áng zì roò 62600
昂藏七尺 áng cáng qī chǐ 111000
昂然而入 áng rán ér rù 39300
昂然直入 áng rán zhí rù 352000
昂然自得 áng rán zì dé 133000
昂然自若 áng rán zì ruò 24300
昂首阔步 áng shǒu kuò bù 2090000
昂首伸眉 áng shǒu shēn méi 53100
昂首天外 áng shǒu tiān wài 159000
昂首挺胸 áng shǒu tǐng xiōng 2780000
昂首望天 áng shǒu wàng tiān 115000
卬首信眉 áng shǒu shēn méi 3830
卬头阔步 áng tóu kuò bù 2750
昂头阔步 áng tóu kuò bù 6190
昂头天外 áng tóu tiān wài 65400
昂头挺胸 áng tóu tǐng xiōng 375000
昂霄耸壑 áng xiāo sǒng hè 32100
盎盂相击 àng yú xiāng jī 2620
盎盂相敲 àng yú xiāng qiāo 2380
嗷嗷待哺 áo áo dài bǔ 3760000
熬熬汲汲 áo áo jí jí 198000
熬熬煎煎 áo áo jiān jiān 29800
傲不可长 ào bù kě zhǎng 494000
敖不可长 ào bù kě zhǎng 89700
熬肠刮肚 áo cháng guā dù 14600
奥德修纪 ào dé xiū jì 117000
奥德修斯 ào dé xiū sī 1000000
鳌愤龙愁 áo fèn lóng chóu 5250
熬更守夜 áo gēng shǒu yè 169000
傲骨嶙嶙 ào gǔ lín lín 125000
懊悔莫及 ào huǐ mò jí 7840
懊悔无及 ào huǐ wú jí 6930
熬姜呷醋 áo jiāng xiā cù 12700
熬枯受淡 áo kū shòu dàn 1810
鳌里夺尊 áo lǐ duó zūn 27000
傲慢不逊 ào màn bù xùn 144000
傲慢少礼 ào màn shǎo lǐ 5840
傲慢无礼 ào màn wú lǐ 2110000
奥妙无穷 ào miào wú qióng 679000
鳌鸣鳖应 áo míng biē yīng 1500
懊恼泽家 ào nǎo zé jiā 483
傲睨得志 ào nì dé zhì 40600
傲睨万物 ào nì wàn wù 54400
傲睨一切 ào nì yī qiè 40500
傲睨一世 ào nì yī shì 71100
傲睨自若 ào nì zì ruò 46400
熬清受淡 áo qīng shòu dàn 2000
熬清守淡 áo qīng shǒu dàn 2980
傲然挺立 ào rán tǐng lì 2400000
傲然屹立 ào rán yì lì 980000
傲世轻物 ào shì qīng wù 45500
敖世轻物 áo shì qīng wù 3350
傲霜斗雪 ào shuāng dòu xuě 573000
傲头傲脑 ào tóu ào nǎo 9240
鳌头独占 áo tóu dú zhàn 303000
凹凸不平 āo tū bù píng 17500000
傲贤慢士 ào xián màn shì 3630
遨翔自得 áo xiáng zì dé 3660
熬心费力 áo xīn fèi lì 4070
傲雪凌霜 ào xuě líng shuāng 807000
傲雪欺霜 ào xuě qī shuāng 255000
聱牙戟口 áo yá jǐ kǒu 16700
聱牙佶屈 áo yá jí qū 607000
聱牙诘屈 áo yá jié qū 14400
聱牙诘曲 áo yá jié qū 16900
謷牙诘屈 áo yá jié qū 11600
聱牙诎曲 áo yá qū qǔ 945
熬油费火 áo yóu fèi huǒ 2670
奥援有灵 ào yuán yǒu líng 3710
鳌掷鲸呿 áo zhì jīng qù 3730
鳌掷鲸吞 áo zhì jīng tūn 16200
巴巴急急 bā bā jí jí 104000
巴巴劫劫 bā bā jié jié 329000
巴巴结结 bā bā jiē jiē 3090000
八百孤寒 bā bǎi gū hán 117000
八百里驳 bā bǎi lǐ bó 911000
八百姻娇 bā bǎi yīn jiāo 15500
八拜之交 bā bài zhī jiāo 1210000
八百诸侯 bā bǎi zhū hóu 1110000
八棒十挟 bā bàng shí jiā 429
拔本塞原 bá běn sè yuán 2010
拔本塞源 bá běn sè yuán 139000
